Description of Variable,obseservation,Do you use the Internet or Email?,Do you access the internet on a handheld device?,How often do you use the internet?,Do you use social media sites?,Are you currently subscribed to an internet service?,What kind of internet do you have at home?,Do you have a cell phone?,"Is your cell phone a smartphone, or not?",How often do you have problems connecting to the internet at home?,Do you use Twitter?,Do you use Instagram?,Do you use Facebook?,Do you use Snapchat?,Do you use YouTube?,Twitter Usage,Instagram Usage,Facebook Usage,Snapchat Usage,YouTube Usage,"During the past 12 months, how many books have you read fully?",Gender,How many people live in your household?,Age,Employment status,"Do you consider yourself a Republican, Democrat, or independent?"
Name in RStudio,obseservation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtub,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
