observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
1293,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,24.00,Woman,1.00,65.00,Retired,Democrat
1294,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,No,No,Yes,Does not use,2 - Several times a day,Does not use,Does not use,3 - About once a day,4.00,Man,2.00,64.00,Retired,Republican
1295,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,10.00,Woman,2.00,55.00,Full-time,Democrat
1296,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,2 - Several times a day,Does not use,2 - Several times a day,10.00,Man,1.00,29.00,Full-time,Independent
1297,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,10.00,Man,2.00,,Retired,Independent
1298,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,0.00,Woman,5.00,44.00,Full-time,Democrat
1299,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,5.00,Woman,3.00,41.00,Full-time,Independent
1300,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,1 - Almost constantly,0.00,Man,2.00,69.00,Full-time,Republican
1301,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,5 - Few times a month or less,2 - Several times a day,Does not use,3 - About once a day,1.00,Man,1.00,68.00,Part-time,Democrat
1302,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,1 - Almost constantly,Does not use,2 - Several times a day,0.00,Man,4.00,22.00,Part-time,Independent
