observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
0,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,50.00,Woman,1.00,77.00,Retired,Democrat
1,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,1.00,Man,2.00,59.00,Part-time,Republican
2,Yes,Yes,4 - Several times a week,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,No,3 - About once a day,Does not use,3 - About once a day,Does not use,Does not use,3.00,Woman,2.00,60.00,Retired,Independent
3,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,30.00,Man,1.00,73.00,Part-time,Democrat
4,Yes,Yes,1 - Almost constantly,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,3 - About once a day,Does not use,4 - Several times a week,40.00,Woman,2.00,65.00,Retired,Democrat
5,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,2 - Several times a day,Does not use,3 - About once a day,4.00,Woman,1.00,62.00,Full-time,Democrat
6,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,0.00,Woman,2.00,70.00,Not employed,Democrat
7,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,1.00,94.00,Retired,Republican
8,Yes,Yes,2 - Several times a day,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,97+,Woman,2.00,65.00,Retired,Independent
9,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,10.00,Woman,2.00,,Part-time,Independent
10,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,No,Yes,2 - Several times a day,Does not use,2 - Several times a day,Does not use,5 - Few times a month or less,80.00,Woman,1.00,55.00,Full-time,Democrat
11,Yes,No,2 - Several times a day,No,Yes,Higher-speed,No,No cell phone,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,3.00,Man,2.00,80.00,Retired,Democrat
12,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,No,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,8.00,Man,2.00,68.00,Retired,Independent
13,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,96.00,Woman,1.00,79.00,Retired,Independent
14,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,2 - Several times a day,1 - Almost constantly,4 - Several times a week,2 - Several times a day,25.00,Man,3.00,49.00,Full-time,Democrat
15,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,6.00,Woman,2.00,77.00,Retired,Independent
16,Yes,Yes,3 - About once a day,No,Yes,Don't Know,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,0.00,Man,2.00,72.00,Retired,Republican
17,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,5.00,Woman,1.00,75.00,Retired,Democrat
18,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,3.00,Woman,3.00,55.00,Part-time,Independent
19,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,3 - About once a day,5 - Few times a month or less,1 - Almost constantly,1 - Almost constantly,2 - Several times a day,25.00,Woman,3.00,39.00,Full-time,Republican
20,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,80.00,Man,4.00,65.00,Retired,Democrat
21,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,3.00,70.00,Part-time,Republican
22,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,4 - Several times a week,Does not use,5 - Few times a month or less,20.00,Woman,2.00,,Retired,
23,Yes,No,3 - About once a day,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,4 - Several times a week,0.00,Man,3.00,80.00,Retired,Republican
24,Yes,No,2 - Several times a day,Yes,Yes,Higher-speed,No,No cell phone,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,1 - Almost constantly,6.00,Man,2.00,63.00,Retired,Republican
25,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,No,Does not use,Does not use,1 - Almost constantly,Does not use,Does not use,0.00,Woman,1.00,74.00,Retired,Democrat
26,Yes,No,3 - About once a day,No,Yes,Higher-speed,No,No cell phone,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,25.00,Man,1.00,59.00,Not employed,Democrat
27,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,10.00,Woman,1.00,83.00,Retired,Democrat
28,Yes,No,1 - Almost constantly,No,Yes,Higher-speed,No,No cell phone,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,12.00,Man,,,,
29,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,1 - Almost constantly,1 - Almost constantly,Does not use,2 - Several times a day,40.00,Woman,2.00,75.00,Retired,Democrat
30,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,1.00,86.00,Retired,Democrat
31,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,20.00,Man,1.00,70.00,Retired,Independent
32,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,No,No,Yes,3 - About once a day,Does not use,Does not use,Does not use,5 - Few times a month or less,6.00,Woman,1.00,70.00,Retired,Democrat
33,Yes,No,2 - Several times a day,Yes,Yes,Higher-speed,No,No cell phone,4 - Never,No,No,Yes,No,No,Does not use,Does not use,1 - Almost constantly,Does not use,Does not use,50.00,Woman,1.00,83.00,Retired,Democrat
34,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,25.00,Man,1.00,64.00,Retired,Republican
35,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,2 - Several times a day,Does not use,4 - Several times a week,Does not use,3 - About once a day,24.00,Woman,1.00,82.00,Retired,Democrat
36,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,No,No,2 - Several times a day,Does not use,1 - Almost constantly,Does not use,Does not use,1.00,Man,,66.00,Not employed,
37,Yes,No,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,97+,Woman,6.00,71.00,Not employed,Republican
38,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,3.00,Woman,1.00,79.00,Retired,Democrat
39,Yes,Yes,2 - Several times a day,No,Yes,Both low and high speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,2.00,Man,6.00,74.00,Retired,
40,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,5 - Few times a month or less,2 - Several times a day,Does not use,5 - Few times a month or less,10.00,Woman,2.00,73.00,Retired,Independent
41,Yes,Yes,1 - Almost constantly,Yes,Yes,Don't Know,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,2 - Several times a day,3 - About once a day,3 - About once a day,Does not use,1 - Almost constantly,88.00,Man,5.00,20.00,Full-time,Republican
42,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,2 - Several times a day,0.00,Man,2.00,87.00,Retired,Republican
43,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,0.00,Man,,68.00,,
44,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,5 - Few times a month or less,5 - Few times a month or less,Does not use,3 - About once a day,5.00,Man,3.00,70.00,Retired,Democrat
45,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,4.00,Woman,2.00,69.00,Retired,Democrat
46,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,1.00,,Not employed,Independent
47,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,3.00,Man,1.00,55.00,Full-time,Independent
48,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,3.00,Man,1.00,81.00,Retired,Independent
49,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,No,1 - Often,No,No,Yes,No,No,Does not use,Does not use,5 - Few times a month or less,Does not use,Does not use,40.00,Woman,1.00,91.00,Not employed,Independent
50,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,5 - Few times a month or less,6.00,Woman,1.00,61.00,Not employed,Independent
51,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,2 - Several times a day,Does not use,3 - About once a day,6.00,Man,2.00,75.00,Not employed,Democrat
52,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,No,2 - Several times a day,Does not use,1 - Almost constantly,Does not use,Does not use,5.00,Woman,,,,
53,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,4 - Several times a week,2 - Several times a day,Does not use,1 - Almost constantly,52.00,Man,4.00,39.00,Full-time,Democrat
54,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,4 - Several times a week,2.00,Woman,2.00,75.00,Retired,Republican
55,Yes,Yes,2 - Several times a day,Yes,Yes,Only through cellphone,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,97+,Woman,2.00,84.00,Retired,Independent
56,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,Yes,No,Does not use,4 - Several times a week,3 - About once a day,4 - Several times a week,Does not use,10.00,Woman,3.00,67.00,Full-time,Republican
57,Yes,No,5 - Few times a month or less,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,8.00,Woman,2.00,73.00,Retired,Independent
58,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,No,No cell phone,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,5.00,Man,1.00,65.00,Retired,Republican
59,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,0.00,Woman,1.00,,Retired,Democrat
60,Yes,Yes,2 - Several times a day,No,Don't Know,No internet subscription,Yes,Yes,3 - Rarely,No,No,No,Yes,Yes,Does not use,Does not use,Does not use,3 - About once a day,3 - About once a day,6.00,Man,,,,
61,Yes,No,2 - Several times a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,12.00,Man,3.00,75.00,Retired,Democrat
62,Yes,Yes,5 - Few times a month or less,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,1.00,Woman,1.00,68.00,Other,Independent
63,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,Don't Know,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,5.00,Man,2.00,66.00,Retired,Republican
64,Yes,Yes,3 - About once a day,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,3 - About once a day,Does not use,Does not use,15.00,Man,3.00,60.00,Full-time,Republican
65,Yes,No,2 - Several times a day,No,Yes,Higher-speed,Yes,No,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,96.00,Man,2.00,73.00,Retired,Independent
66,Yes,Yes,Don't Know,No,Yes,Don't Know,Yes,Yes,1 - Often,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,3.00,Man,3.00,65.00,Retired,Independent
67,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,1 - Almost constantly,Does not use,3 - About once a day,96.00,Woman,2.00,61.00,Retired,Democrat
68,Yes,No,3 - About once a day,No,Yes,Don't Know,Yes,No,4 - Never,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,0.00,Man,1.00,86.00,Retired,Democrat
69,Yes,No,5 - Few times a month or less,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,4 - Several times a week,0.00,Woman,2.00,81.00,Retired,Republican
70,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,15.00,Woman,1.00,70.00,Part-time,Independent
71,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,0.00,Woman,2.00,,Retired,Republican
72,No,No,No Internet,No,No,No internet subscription,Yes,Yes,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,10.00,Woman,1.00,75.00,Retired,Democrat
73,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,No,Yes,2 - Several times a day,5 - Few times a month or less,2 - Several times a day,Does not use,3 - About once a day,12.00,Man,2.00,60.00,Retired,Independent
74,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,1 - Almost constantly,Does not use,Does not use,75.00,Man,1.00,64.00,Retired,Republican
75,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,75.00,Woman,2.00,69.00,Full-time,Republican
76,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,2 - Several times a day,3.00,Woman,2.00,62.00,Not employed,Democrat
77,No,No,No Internet,No,Yes,Higher-speed,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,1.00,Man,2.00,83.00,Retired,Democrat
78,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,3 - About once a day,Does not use,3 - About once a day,4.00,Man,4.00,57.00,Full-time,Democrat
79,Yes,No,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,12.00,Man,1.00,86.00,Retired,Democrat
80,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,2.00,82.00,Retired,
81,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,12.00,,,,,
82,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,30.00,Man,2.00,60.00,Not employed,Independent
83,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,No,Does not use,5 - Few times a month or less,1 - Almost constantly,Does not use,Does not use,0.00,Man,1.00,60.00,Full-time,Democrat
84,Yes,No,3 - About once a day,No,Yes,Dial-up,Yes,No,4 - Never,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,0.00,Man,2.00,82.00,Retired,Republican
85,Yes,No,5 - Few times a month or less,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,5 - Few times a month or less,50.00,Woman,1.00,83.00,Retired,Independent
86,No,No,No Internet,No,Yes,Don't Know,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,97+,Woman,1.00,83.00,Retired,Republican
87,Yes,No,5 - Few times a month or less,No,Yes,Don't Know,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,4 - Several times a week,Does not use,4 - Several times a week,96.00,Woman,1.00,50.00,Part-time,Independent
88,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,3 - Rarely,No,No,Yes,Yes,Yes,Does not use,Does not use,1 - Almost constantly,3 - About once a day,1 - Almost constantly,0.00,Man,2.00,31.00,Full-time,Republican
89,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,2 - Several times a day,0.00,Man,4.00,53.00,Full-time,Independent
90,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,Yes,Yes,Yes,No,Yes,1 - Almost constantly,3 - About once a day,1 - Almost constantly,Does not use,1 - Almost constantly,60.00,Woman,1.00,60.00,Full-time,Independent
91,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,3 - About once a day,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,6.00,Man,2.00,70.00,Retired,Democrat
92,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,No,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,0.00,Woman,2.00,55.00,Other,Independent
93,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,No,Yes,No,Yes,4 - Several times a week,Does not use,4 - Several times a week,Does not use,3 - About once a day,10.00,Man,2.00,73.00,Other,Independent
94,Yes,Yes,3 - About once a day,No,No,No internet subscription,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,97+,Woman,1.00,78.00,Other,Republican
95,No,No,No Internet,Yes,Yes,Higher-speed,Yes,Yes,No internet,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,1 - Almost constantly,26.00,Man,2.00,68.00,Retired,Independent
96,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,12.00,Man,2.00,79.00,Retired,Republican
97,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,No,Yes,Yes,No,Does not use,Does not use,3 - About once a day,3 - About once a day,Does not use,97+,Woman,3.00,27.00,Part-time,Independent
98,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,97+,Woman,2.00,64.00,Retired,Republican
99,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,5 - Few times a month or less,Does not use,4 - Several times a week,97+,Woman,2.00,68.00,Retired,Democrat
100,Yes,Yes,2 - Several times a day,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,Yes,No,Yes,Yes,Yes,5 - Few times a month or less,Does not use,2 - Several times a day,4 - Several times a week,3 - About once a day,50.00,Woman,2.00,71.00,Retired,Republican
101,Yes,Yes,2 - Several times a day,Yes,Yes,Don't Know,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,2.00,Woman,1.00,79.00,Retired,Republican
102,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,7.00,Man,3.00,44.00,Full-time,Independent
103,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,1.00,89.00,Retired,Democrat
104,Yes,No,5 - Few times a month or less,No,No,No internet subscription,Yes,Don't Know,Don't Know,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,1.00,Woman,2.00,89.00,Retired,Republican
105,No,No,No Internet,No,No,No internet subscription,Yes,Yes,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,2.00,Man,1.00,82.00,Retired,Democrat
106,Yes,No,2 - Several times a day,Yes,Yes,Higher-speed,Yes,No,4 - Never,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,24.00,Woman,2.00,71.00,Full-time,Democrat
107,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,4 - Several times a week,3.00,Woman,2.00,81.00,Retired,Republican
108,Yes,No,2 - Several times a day,No,Yes,Dial-up,No,No cell phone,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,6.00,Man,2.00,76.00,Retired,Democrat
109,Yes,Yes,4 - Several times a week,Yes,Yes,Higher-speed,Yes,Don't Know,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,4 - Several times a week,Does not use,3 - About once a day,52.00,Woman,1.00,82.00,Retired,Democrat
110,Yes,No,2 - Several times a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,20.00,Woman,1.00,73.00,Retired,Democrat
111,Yes,No,5 - Few times a month or less,Yes,Yes,Higher-speed,Yes,No,4 - Never,No,No,Yes,No,No,Does not use,Does not use,5 - Few times a month or less,Does not use,Does not use,50.00,Man,1.00,74.00,Full-time,Independent
112,Yes,Yes,2 - Several times a day,Yes,Yes,Don't Know,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,2 - Several times a day,0.00,Man,2.00,71.00,Other,
113,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,10.00,Man,2.00,87.00,Retired,Democrat
114,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,1.00,60.00,Not employed,Independent
115,Yes,Yes,5 - Few times a month or less,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Don't Know,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,15.00,Woman,1.00,77.00,Retired,
116,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,No,No cell phone,3 - Rarely,Yes,No,No,No,No,4 - Several times a week,Does not use,Does not use,Does not use,Does not use,3.00,Man,2.00,64.00,Full-time,Republican
117,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,1 - Almost constantly,Does not use,1 - Almost constantly,3.00,Woman,2.00,40.00,Full-time,Republican
118,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,Yes,Yes,Yes,Yes,Yes,2 - Several times a day,2 - Several times a day,1 - Almost constantly,2 - Several times a day,3 - About once a day,97+,Woman,5.00,37.00,Full-time,Independent
119,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,2 - Several times a day,Does not use,3 - About once a day,50.00,Woman,2.00,63.00,Not employed,Democrat
120,Yes,No,3 - About once a day,No,Yes,Dial-up,No,No cell phone,2 - Sometimes,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,20.00,Woman,,,,
